Theme,English,English meaning,Francais
"Finance, banque, investissement et comptabilité",coupon,periodic interest payment on a bond,coupon
"Finance, banque, investissement et comptabilité",covenant,condition a borrower must respect,"clause restrictive, engagement financier"
"Finance, banque, investissement et comptabilité",creative accounting,misleading but technically legal financial reporting,comptabilité créative
"Finance, banque, investissement et comptabilité",credit approval,decision to grant a loan,accord de crédit
"Finance, banque, investissement et comptabilité",credit bubble,unsustainable expansion of lending,bulle du crédit
"Finance, banque, investissement et comptabilité",credit bureau,agency collecting borrowers' repayment records,bureau de crédit
"Finance, banque, investissement et comptabilité",credit card,payment card allowing deferred settlement,carte de crédit
"Finance, banque, investissement et comptabilité",credit committee,group deciding on lending applications,comité de crédit
"Finance, banque, investissement et comptabilité",credit crunch,sudden severe shortage of lending,resserrement du crédit
"Finance, banque, investissement et comptabilité",credit default swap,contract insuring against a borrower's failure,swap de défaut de crédit
"Finance, banque, investissement et comptabilité",credit enhancement,measures improving a security's repayment prospects,rehaussement de crédit
"Finance, banque, investissement et comptabilité",credit facility,arrangement allowing borrowing up to a limit,facilité de crédit
"Finance, banque, investissement et comptabilité",credit history,record of past borrowing and repayment,historique de crédit
"Finance, banque, investissement et comptabilité",credit line,agreed maximum amount available to borrow,ligne de crédit
"Finance, banque, investissement et comptabilité",credit note,document reducing what a customer owes,avoir
"Finance, banque, investissement et comptabilité",credit rating,assessment of a borrower's reliability,notation de crédit
"Finance, banque, investissement et comptabilité",credit risk,danger a borrower fails to repay,risque de crédit
"Finance, banque, investissement et comptabilité",credit score,number summarizing a borrower's reliability,score de crédit
"Finance, banque, investissement et comptabilité",credit spread,extra yield demanded for riskier borrowers,écart de crédit
"Finance, banque, investissement et comptabilité",credit union,member-owned cooperative offering savings and loans,coopérative de crédit
"Finance, banque, investissement et comptabilité",creditor,party to whom money is owed,créancier
"Finance, banque, investissement et comptabilité",creditworthiness,degree to which someone deserves lending,"solvabilité, qualité de signature"
"Finance, banque, investissement et comptabilité",cross-default,clause triggering failure across linked agreements,défaut croisé
"Finance, banque, investissement et comptabilité",crossed check,payment order payable only into an account,chèque barré
"Finance, banque, investissement et comptabilité",cryptocurrency,digital money secured by cryptography,cryptomonnaie
"Finance, banque, investissement et comptabilité",currency appreciation,rise in one money's value against others,appréciation de la monnaie
"Finance, banque, investissement et comptabilité",currency depreciation,fall in one money's value against others,dépréciation de la monnaie
"Finance, banque, investissement et comptabilité",currency exchange,converting one nation's money into another,"bureau de change, opération de change"
"Finance, banque, investissement et comptabilité",currency hedging,protecting against adverse exchange movements,couverture de change
"Finance, banque, investissement et comptabilité",currency peg,fixing one money's value to another,"ancrage monétaire, parité fixe"
"Finance, banque, investissement et comptabilité",current account,everyday banking facility for regular transactions,compte courant
"Finance, banque, investissement et comptabilité",current assets,resources expected to be used within a year,actif circulant
"Finance, banque, investissement et comptabilité",current liabilities,obligations due within one year,"dettes à court terme, passif courant"
"Finance, banque, investissement et comptabilité",current ratio,short-term resources compared with short-term obligations,ratio de liquidité générale
"Finance, banque, investissement et comptabilité",custodian,institution safekeeping securities for clients,dépositaire
"Finance, banque, investissement et comptabilité",custodian bank,institution holding clients' securities for safekeeping,banque dépositaire
"Finance, banque, investissement et comptabilité",custody,safekeeping of assets on behalf of owners,conservation des titres
